player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Greyson Lambert,46545,QB,VIRGINIA,9,41.5,0,335,70.4,,60.2,0,0,0,0.0,0.0,,0,0,0,226,0,0,0,544,0,296,0,0,226,0
E.J. Bibbs,10034,TE,IOWA STATE,10,36.5,0,193,65.4,64.8,66.5,0,1,27,6.9,6.5,98.1,3,1,0,225,0,0,1,616,27,418,0,0,198,214
Brock Dagel,18387,T,IOWA STATE,4,99.6,0,193,60.3,68.2,59.3,0,7,142,99.3,99.3,96.1,1,9,2,225,0,0,225,226,150,151,0,0,75,0
Jay Lee,11136,WR,BAYLOR,13,40.4,0,118,69.6,68.7,54.8,0,0,1,0.3,0.3,100.0,2,0,0,225,0,0,0,557,1,333,0,0,224,4
Kolby Listenbee,10826,WR,TCU,13,37.8,0,305,69.6,,70.6,0,0,0,0.0,0.0,,1,0,0,225,0,0,0,596,0,368,0,0,225,0
Sevrin Remmo,17653,T,AIR FORCE,3,100.0,0,101,77.1,67.2,74.3,1,1,54,100.0,100.0,98.1,0,2,0,225,0,0,0,225,57,57,0,225,168,0
Tristan Henderson,13399,TE,UAB,11,84.0,0,321,67.5,73.1,67.2,0,1,42,49.4,50.0,98.8,3,1,0,225,0,0,0,268,43,86,0,0,182,243
Nick Stoner,14436,WR,INDIANA,9,52.9,0,190,63.3,,66.6,0,0,0,0.0,0.0,,0,0,0,225,0,0,0,425,0,200,0,0,225,0
Chris Humphrey,14481,WR,KENT STATE,11,32.2,0,201,62.5,,65.8,0,0,0,0.0,0.0,,2,0,0,225,0,0,0,699,0,474,0,0,225,2
Connor Wingo-Reeves,45628,FB,VIRGINIA,12,88.9,0,335,57.6,68.9,58.2,1,0,49,63.6,64.1,96.9,0,2,1,224,0,0,0,252,50,78,0,0,174,9
Foster Bush,16430,G,MINNESOTA,6,100.0,0,225,77.5,64.0,77.5,0,2,69,100.0,100.0,98.6,1,2,0,224,0,0,0,224,71,71,214,10,153,0
Sean McQuillan,37752,TE,UCONN,12,46.5,1,146,48.7,43.0,57.9,1,0,26,9.6,10.1,98.1,3,1,0,224,0,0,0,482,29,287,0,1,195,348
Thomas Duarte,10865,TE,UCLA,11,41.3,0,324,62.1,,67.6,0,0,0,0.0,0.0,,2,0,0,224,0,0,0,543,0,319,0,0,224,1
Nick Mullens,12282,QB,SO MISS,10,33.7,0,296,70.5,,60.3,0,0,0,0.0,0.0,,2,0,0,224,0,0,0,664,0,425,0,0,224,0
Eldridge Massington,47955,WR,UCLA,13,45.2,0,324,65.2,,68.4,0,0,0,0.0,0.0,,1,0,0,223,0,0,0,493,0,270,0,0,223,0
Tajae Sharpe,10774,WR,UMASS,12,29.2,0,216,82.9,,59.8,0,0,0,0.0,0.0,,1,0,0,223,0,0,0,764,0,538,0,0,223,1
Cole Cook,47097,TE,NC STATE,13,92.9,0,248,65.8,70.2,67.7,0,1,20,54.1,54.1,97.5,1,1,0,223,0,0,6,240,20,37,0,5,203,223
Marcus Hendricks,13840,TE,AIR FORCE,10,76.6,0,101,70.2,68.7,86.8,0,0,1,1.5,1.4,100.0,0,0,0,223,0,0,0,291,1,69,0,0,222,90
Garrett Dickerson,47268,TE,NWESTERN,12,78.8,0,256,60.0,73.9,69.1,0,0,24,29.3,28.6,100.0,1,0,0,223,0,0,0,283,24,84,0,0,199,271
Sterling Griffin,39435,WR,LA TECH,11,44.1,0,208,67.0,,88.4,0,0,0,0.0,0.0,,2,0,0,222,0,0,0,503,0,281,0,0,222,0
Cody Core,10833,WR,OLE MISS,13,35.2,0,226,68.5,,69.1,0,0,0,0.0,0.0,,0,0,0,222,0,0,0,631,0,405,0,0,222,1
Justin Vele,18352,FB,HAWAII,12,71.6,0,180,59.2,56.6,60.1,0,2,50,39.1,38.4,98.0,0,2,0,222,0,0,0,310,53,138,0,0,169,88
Kyle Prater,10164,WR,NWESTERN,11,40.0,0,256,71.1,63.9,68.5,0,0,1,0.3,0.3,100.0,3,0,0,221,0,0,0,552,1,332,0,0,220,1
Braedon Bowman,10904,TE,S ALABAMA,11,52.5,0,288,63.5,26.9,77.1,1,2,13,6.4,6.1,88.5,2,3,0,221,0,0,0,421,13,213,0,0,208,158
Amara Darboh,11861,WR,MICHIGAN,12,42.7,0,222,67.7,69.3,81.6,0,0,0,0.0,0.3,,0,0,0,221,0,0,0,518,1,298,0,0,220,11
Chase Cochran,14916,WR,OHIO,12,42.1,0,259,59.5,,59.5,0,0,0,0.0,0.0,,0,0,0,220,0,0,0,523,0,303,0,0,220,0
Drew Bailey,13856,FB,APP STATE,12,91.3,0,108,71.2,70.1,74.5,0,1,29,58.0,60.4,98.3,1,1,0,220,0,0,0,241,32,53,0,0,188,32
Rannell Hall,9942,WR,UCF,10,38.2,1,323,68.4,70.0,65.5,0,0,2,0.6,0.6,100.0,3,0,0,220,0,0,0,576,2,333,0,0,218,2
Cody Collins,28813,G,MARSHALL,11,100.0,0,214,69.4,84.3,69.2,0,4,110,100.0,100.0,98.2,2,4,0,219,40,0,0,219,114,114,179,0,105,0
Keith Mumphery,9608,WR,MICH STATE,13,47.4,0,223,72.8,,61.5,0,0,0,0.0,0.0,,0,0,0,219,0,0,0,462,0,237,0,0,219,0
Justyn Shackleford,12770,WR,TULANE,12,35.9,0,319,62.3,,68.7,0,0,0,0.0,0.0,,1,0,0,219,0,0,0,610,0,391,0,0,219,0
P.J. Walker,12134,QB,TEMPLE,12,30.0,0,306,42.3,,60.0,0,0,0,0.0,0.0,,4,0,0,219,0,0,0,730,0,446,0,0,219,0
Brad Lundblade,45578,C,OKLA STATE,7,100.0,0,262,64.6,74.6,63.6,0,2,120,100.0,100.0,98.3,3,3,1,219,218,0,0,219,125,125,0,0,94,0
Fred Ross,12091,WR,MISS STATE,13,51.0,0,227,71.3,,75.3,0,0,0,0.0,0.0,,0,0,0,219,0,0,0,429,0,208,0,0,219,1
Joe Gray,16729,QB,S JOSE ST,11,35.0,0,285,75.7,,60.0,0,0,0,0.0,0.0,,0,0,0,218,0,0,0,622,0,369,0,0,218,0
Louie Addazio,18025,TE,BOSTON COL,12,94.4,0,121,37.9,50.6,44.3,0,1,12,50.0,50.0,95.8,1,1,0,218,0,0,8,231,13,26,0,6,205,217
Bryce Williams,11220,TE,E CAROLINA,13,55.1,0,156,67.2,44.1,66.5,0,10,76,31.0,31.0,93.4,1,10,0,218,0,0,2,396,80,258,0,0,138,195
Tevaun Smith,10921,WR,IOWA,13,34.2,0,192,68.7,,79.1,0,0,0,0.0,0.0,,0,0,0,218,0,0,0,638,0,417,0,0,218,0
Chris Shillings,17812,WR,BALL ST,12,38.1,0,117,54.9,,60.3,0,0,0,0.0,0.0,,0,0,0,218,0,0,0,572,0,354,0,0,218,6
J.J. Worton,11404,WR,UCF,10,40.7,0,323,68.0,,66.8,0,0,0,0.0,0.0,,1,0,0,217,0,0,0,533,0,316,0,0,217,6
Kasen Williams,10195,WR,WASHINGTON,14,48.5,0,340,63.4,33.2,70.2,0,0,1,0.5,0.4,100.0,1,0,0,217,0,0,0,447,1,231,0,0,216,4
Aaron Evans,46350,T,UCF,6,100.0,0,323,67.1,61.4,68.6,1,5,95,100.0,100.0,95.8,1,7,1,217,0,0,0,217,101,101,46,171,116,0
Cole Hunt,25172,TE,RICE,13,75.3,0,275,53.0,32.8,61.1,0,2,9,12.0,11.3,88.9,2,2,0,217,0,0,0,288,9,80,0,0,208,260
Drew Van Maanen,45615,FB,WYOMING,12,84.1,0,351,68.4,69.0,70.3,2,1,40,50.6,50.6,96.2,1,3,0,217,0,0,0,258,42,83,0,0,175,11
Devon Desper,46122,G,MISS STATE,8,100.0,1,227,59.6,88.8,60.2,0,1,79,100.0,100.0,99.4,3,1,0,216,0,0,0,216,84,84,216,0,132,0
Stefon Diggs,9579,WR,MARYLAND,10,36.9,0,215,79.5,,76.6,0,0,0,0.0,0.0,,2,0,0,216,0,0,0,585,0,365,0,0,216,1
DeAngelo Yancey,11930,WR,PURDUE,12,40.1,0,273,53.7,,77.7,0,0,0,0.0,0.0,,0,0,0,216,0,0,0,539,0,323,0,0,216,0
Mike Thomas,10840,WR,SO MISS,12,33.4,0,296,62.9,,72.4,0,0,0,0.0,0.0,,3,0,0,216,0,0,0,647,0,431,0,0,216,0
Shane Smith,12238,TE,S JOSE ST,11,84.7,0,285,72.6,77.4,82.7,0,0,30,45.5,45.1,100.0,3,0,0,216,0,0,0,255,32,71,0,0,184,199
Pete Thomas,12587,QB,LA MONROE,12,24.8,0,209,60.7,,60.1,0,0,0,0.0,0.0,,1,0,0,215,0,0,0,867,0,617,0,0,215,0
Kyle Harris,17601,T,ARK STATE,11,100.0,0,113,52.9,62.4,57.2,1,7,107,100.0,100.0,96.3,3,8,0,215,31,0,61,215,111,111,0,123,104,0
Mike White,46453,QB,USF,11,42.2,0,327,52.6,,60.0,0,0,0,0.0,0.0,,4,0,0,215,0,0,0,510,0,281,0,0,215,0
Vince Sanders,12807,WR,OLE MISS,12,36.8,1,226,71.7,,57.4,0,0,0,0.0,0.0,,2,0,0,215,0,0,0,585,0,370,0,0,215,0
David Morgan,10822,TE,UTSA,9,66.8,0,331,90.5,47.8,82.1,1,0,37,26.6,26.2,95.9,2,2,1,215,0,0,0,322,38,145,0,0,177,259
