player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
Carson Hansen,174669,HB,IOWA STATE,11,0,193,58.9,,58.6,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
Tripp Walsh,174693,TE,IOWA STATE,12,0,193,57.5,,57.3,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Keyjuan Brown,174695,HB,LOUISVILLE,9,0,210,72.2,,74.6,1,0,65,0,0,65,65.0,0,0,0,0,0,0,0,,1
Cataurus Hicks,174705,WR,PITTSBURGH,12,0,268,64.6,,65.5,4,1,27,0,0,60,15.0,0,0,0,0,0,0,0,,4
Cameron Seldon,174740,WR,VA TECH,11,0,337,54.4,,53.3,4,0,30,0,0,63,15.8,0,0,0,0,0,0,0,,4
Davon Booth,174754,HB,MISS STATE,12,0,227,51.2,,50.5,8,8,18,0,0,89,11.1,0,0,0,0,0,0,0,,8
Kahanu Davis,174757,WR,UTAH ST,12,0,329,,68.1,65.0,0,0,0,0,0,0,,0,6,8,16,0,0,29,4.8,6
Thomas Williams,174800,CB,VA TECH,12,0,337,63.2,,63.9,3,0,27,0,0,69,23.0,0,0,0,0,0,0,0,,3
Bricen Brantley,174808,WR,WYOMING,12,0,351,61.8,,62.2,4,0,19,0,0,73,18.3,0,0,0,0,0,0,0,,4
Keany Parks,174825,CB,HOUSTON,9,0,182,59.9,,59.9,1,0,8,0,0,8,8.0,0,0,0,0,0,0,0,,1
Bo Burklow,174924,TE,LIBERTY,12,0,206,43.9,,40.6,1,1,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
Dillon Thieneman,174971,S,OREGON,13,0,264,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Joey Mattord,175055,HB,E MICHIGAN,12,0,160,57.8,,57.4,3,3,17,0,0,61,20.3,1,0,0,0,0,0,0,,3
Daiquan White,175068,CB,GA TECH,12,0,176,59.9,,59.9,1,0,-1,0,0,-1,-1.0,0,0,0,0,0,0,0,,1
Xe'ree Alexander,175071,LB,WASHINGTON,12,0,340,59.9,,59.9,1,0,18,0,0,18,18.0,0,0,0,0,0,0,0,,1
Deshaun Buchanan,175075,HB,NEW MEXICO,12,0,241,58.7,,58.4,2,0,19,0,0,33,16.5,1,0,0,0,0,0,0,,2
